name,gender,award|Mason Durie Medal|0,award|Callaghan Medal|1,award|Humanities Aronui Medal|2,award|MacDiarmid Medal|3,award|Jones Medal|4,award|Dame Joan Metge Medal|5,award|Pou Aronui Award|6,award|Pickering Medal|7,award|Hatherton Award|8,award|R. J. Scott Medal|9,award|Sir Charles Hercus Medal|10,award|Te Rangi Hiroa Medal|11,award|Rutherford Medal|12,award|Charles Fleming Award|13,award|Thompson Medal|14,award|Leonard Cockayne Memorial Lecture|15,award|T. K. Sidey Medal|16,award|Hamilton Memorial Prize|17,award|Hector Medal|18,award|Hutton Medal|19
Ian A. E. Atkinson,M,,,,,,,,,,,,,,1992,,,,,,
Robert Buckley,M,,,,,,,,2004,,,,,,,,,,,,
Andrew Buchanan,M,,,,,,,,,,2013,,,,,,,,,,
Harold William Wellman,M,,,,,,,,,,,,,,,,,,,1957,
Johannes Carl Andersen,M,,,,,,,,,,,,,,,,,,,1944,
Viviane Robinson,F,2016,,,,,,,,,,,,,,,,,,,
Simon Greenhill,M,,,,,,,,,,,,,,,,,,2012,,
Robert John Hay,M,,,,,,,,,,,,,,,2006,,,,,
David Williams,M,,,,,,,,2012,,,,,,,,,,,,
Reinhart Hugo Michael Langer,M,,,,,,,,,,,,,,,,1983,,,,
Franklin H. Wood,M,,,,,,,,,,,,,,,,,,1974,,
Lucy Beatrice Moore,F,,,,,,,,,,,,,,,,1965,,,,1965
Leonard Cockayne,M,,,,,,,,,,,,,,,,,,,1912,1914
Elizabeth Edgar,F,,,,,,,,,,,,,,,,,,,,2000
Thomas John Walker,M,,,,,,,,,,,,,1997,,,,,,,
David Miller,M,,,,,,,,,,,,,,,,,,,,1938
Brian P. J. Molloy,M,,,,,,,,,,,,,,1995,,,,,,
James Allan Thomson,M,,,,,,,,,,,,,,,,,,,,1923
George Vernon Hudson,M,,,,,,,,,,,,,,,,,1933,,1923,1929
Bernhard H. Breier,M,,,,,,,,,,,,,,,,,,1991,,
Graham Collingwood Liggins,M,,,,,,,,,,,,,,,,,,,1980,
Murray McEwan,M,,,,,,,,2006,,,,,,,,,,,,
Henry George Forder,M,,,,,,,,,,,,,,,,,,,1946,
Peter N. Johnson,M,,,,,,,,,,,,,,,,,,1977,,
David Forbes Martyn,M,,,,,,,,,,,,,,,,,1947,,,
Neville W. Pankhurst,M,,,,,,,,,,,,,,,,,,1993,,
Merryn Tawhai,F,,,,2016,,,,,,,,,,,,,,,,
Peter Wardke,M,,,,,,,,,,,,,,,,,,,1990,
Craig J. Roger,M,,,,,,,,,1997,,,,,,,,,,,
Richard John Norris,M,,,,,,,,,,,,,,,,,,,,1996
David Galloway,M,,,,,,,,,,,,,,,,,,,,2010
Jarg R. Pettinga,M,,,,,,,,,,,,,,,,,,1985,,
Peter Lee,M,,,,,,,,,,,,,,,2013,,,,,
Ruth Fitzgerald,F,,,,,,,,,,,,2015,,,,,,,,
Lujia Liu,M,,,,,,,,,2015,,,,,,,,,,,
John Ernest Holloway,M,,,,,,,,,,,,,,,,,,,1930,1920
Stuart McNaughton,M,,,,,,2016,,,,,,,,,,,,,,
Richard Garland,M,,,,,,,,,,,,,,,2009,,,,,
Charles Ernest Weatherburn,M,,,,,,,,,,,,,,,,,,,1934,
David A. Thom,M,,,,,,,,,,,,,,1998,,,,,,
Hamish Spencer,M,,2016,,,,,,,,,,,,,,,,,,
Charles Chilton,M,,,,,,,,,,,,,,,,,,,1917,
Colin James Webb,M,,,,,,,,,,,,,,,,,,,,2006
Simon Malpas,M,,,,,,,,2014,,,,,,,,,,,,
Ernest Beaglehole,M,,,,,,,,,,,,,,,,,,,1950,
Maxwell Gage,M,,,,,,,,,,,,,,,,,,,,1974
Neil Broom,M,,,,2013,,,,,,,,,,,,,,,,
Richard Ellis Ford Matthews,M,,,,,,,,,,,,,,,,,,,1978,
Marston Conder,M,,,,,,,,,,,,,,,,,,,2014,
Ian Pool,M,,,,,,,,,,,,2009,,,,,,,,
Stephen Michael Dawson,M,,,,,,,,,,,,,,2004,,,,,,
Gaven John Martin,M,,,,,,,,,,,,,,,,,,,2008,
Ian James Hodgkinson,M,,,,,,,,,,,,,,,,,2004,,,
Robert Goldblatt,M,,,,,2012,,,,,,,,,,,,,,,
Eric John Godley,M,,,,,,,,,,,,,,,,1974,,,,1986
Stephen Henry,M,,,,,,,,,,2011,,,,,,,,,,
Margaret Mutu,F,,,,,,,2015,,,,,,,,,,,,,
Peter Bernard David de la Mare,M,,,,,,,,,,,,,,,,,,,1985,
Donald Petrie,M,,,,,,,,,,,,,,,,,,,1924,
Victor Albert Baley,M,,,,,,,,,,,,,,,,,1951,,,
Grant Williams,M,,,,,,,,,,,,,,,,,,,2010,
Gilbert Edward Archey,M,,,,,,,,,,,,,,,,,,,1968,
Hugh Mannering Bibby,M,,,,,,,,,,,,,,,,,,,,1999
Thomasin Ann Smith,F,,,,,,,,,,,,,,,,,,2004,,
Colleen ward,F,,,,,,,,,,,,2011,,,,,,,,
Michael Corballis,M,,,,,,,,,,,,,2016,,,,,,,
Shaun Coffey,M,,,,,,,,,,,,,,,2010,,,,,
Richard Conrad Cambie,M,,,,,,,,,,,,,,,,,,,1967,
Leonard Hill,M,,,,,,,,,,,,,,,,,1936,,,
Claire Vallance,F,,,,,,,,,,,,,,,,,,1999,,
Marshall Laird,M,,,,,,,,,,,,,,,,,,1951,,
Frank Griffin,M,,,,,,,,2010,,,,,,,,,,,,
Iain Anderson,M,,,,,,,,2016,,,,,,,,,,,,
Alan Ross Ferguson,M,,,,,,,,,,,,,,,,1995,,,,
Lucy May Cranwell Smith,F,,,,,,,,,,,,,,,,,,,1954,
Timothy Raymond Naish,M,,,,,,,,,,,,,,,,,,1998,,
Robert McKibbin,M,,,,,,,,,,,,,,,,,,1984,,
Peter Dearden,M,,2014,,,,,,,,,,,,,,,,,,
Maurice Curtis,M,,,,,,,,,,,,,,,,,,2008,,
Jack Vowles,M,,,,,,,,,,,,1999,,,,,,,,
Charles Andrew Cotton,M,,,,,,,,,,,,,,,,,,,1927,1947
Stephane Coen,M,,,,,,,,,,,,,,,,,,,2016,
Christine Winterbourn,F,,,,,,,,,,,,,2011,,,,,,,
Gregory Thomas Jones,M,,,,,,,,,,,,,,,,,,2000,,
Lawrence Robert Richardson,M,,,,,,,,,,,,,,,,,,,,1959
Francis Brian Shorland,M,,,,,,,,,,,,,,,,,,,1955,
Richie Poulton,M,,,,,,2012,,,,,,,,,,,,,,
Campbell Symes Nelson,M,,,,,,,,,,,,,,,,,,,,2004
Lester C. King,M,,,,,,,,,,,,,,,,,,1934,,
Dianne Christine McCarthy,F,,,,,,,,,,,,,,,,,,1984,,
David Kelly,M,,,,,,,,,,,,,,,,2004,,,,
Noam Greenberg,M,,,,,,,,,,,,,,,,,,2009,,
George Hodge Scott,M,,,,,,,,,,,,,,,,,,,,1992
Brian Opie,M,,,,,,,2009,,,,,,,,,,,,,
Lydia Wevers,F,,,,,,,2014,,,,,,,,,,,,,
David Anthony Dougall Parry,M,,,,,,,,,,,2000,,2008,,,,,,,
Phillipa Howden-Chapman,F,,,,,,2008,,,,,,,,,,,,,,
Linda Tuhuwau Smith,F,,,,,,2012,,,,,,,,,,,,,,
Gordon Herriot Cunningham,M,,,,,,,,,,,,,,,,,,,1948,1935
Donald Rees Llewellyn,M,,,,,,,,,,,,,,,1994,,,,,
Erik Newland Olssen,M,,,,,,,,,,,,2001,,,,,,,,
Alan Francis Mark,M,,,,,,,,,,,,,,2010,,1980,,,,1997
Margaret Hyland,F,,,,,,,,2015,,,,,,,,,,,,
Adam Day,M,,,,,,,,,2011,,,,,,,,,,,
R. Ewan Fordyce,M,,,,,,,,,,,,,,,,,,,,2012
J. G. Myers,M,,,,,,,,,,,,,,,,,,1923,,
Michael Armstrong Collins,M,,,,,,,,,,,,,,,1992,,,,,
Derek Frank Lawden,M,,,,,,,,,,,,,,,,,,,1964,
Donald Merton,M,,,,,,,,,,,,,,1989,,,,,,
Catherine Margaret McCartin,F,,,,,,,,,2006,,,,,,,,,,,
Robert Martin Lewitt,M,,,,,,,,,,,,,,,,,,1980,,
Celia Jane Webby,F,,,,,,,,,2007,,,,,,,,,,,
Geoffrey Ernest Stedman,M,,,,,,,,,,,,,,,,,,,1994,
Roy Fergus Benseman,M,,,,,,,,,,,,,,,,,1977,,,
Anne Salmond,F,,,,,,,,,,,,,2013,,,,,,,
Colin James Burrows,M,,,,,,,,,,,,,,,,,,1963,,
Timothy Williams,M,,,,,,,,,2008,,,,,,,,,,,
Hamish Andrew McGowan,M,,,,,,,,,,,,,,,,,,1996,,
Patricia Rose Bergquist,F,,,,,,,,,,,,,,,,,,,1989,
Wei Gao,M,,,,,,,,,,2001,,,,,,,,,,
Alister George McLellan,M,,,,,,,,,,,,,,,,,,,1958,
Roger Curtis Green,M,,,,,,,,,,,,,,,,,,,1992,
Bruce Clarkson,M,,,,,,,,,,,,,,2016,,,,,,
John Marwick,M,,,,,,,,,,,,,,,,,,1926,1933,1953
Lloyd George Geering,M,,,,,,,2007,,,,,,,,,,,,,
Michael Philip Hartshorn,M,,,,,,,,,,,,,,,,,,,1973,
Harold Marshall,M,,,,,,,,2013,,,,,,,,,,,,
William Denny,M,,,,,,,,,,,,,1995,,,,,,,
Robert Anthony Robinson,M,,,,,,,,,,,,,,,,,,,1949,
James Vincent Hodge,M,,,,,,,,,,,,,,,1988,,,,,
Shaun Hendy,M,,2012,,,,,,,,,,,,,,,,,,
Ian James Warrington,M,,,,,,,,,,,,,,,,,1984,,,
Matt McGlone,M,,,,,,,,,,,,,,,,2001,,,,
John Pratt,M,2013,,,,,,,,,,,,,,,,,,,
Russell Gray,M,2012,,,,,,,,,,,,,,,,,,,
Peter Adolf Schwerdtfeger,M,,,,,,,,,,,,,2014,,,,,,2001,
Bruce Campbell,M,,,,,,,,,,,,,,,2016,,,,,
Lionel Carter,M,,,,,,,,,,,,,,,,,,,,2015
Alan Musgrave,M,,,2012,,,,,,,,,,,,,,,,,
Miro Erkintalo,M,,,,,,,,,,,,,,,,,,2016,,
William Blaxland Benham,M,,,,,,,,,,,,,,,,,,,1935,1911
Robert Poulin,M,,,,,,,,,,,,,,,,,,,,2011
Atholl Anderson,M,,,2015,,,,,,,,,,,,,,,,,
